"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"HS","H4","840","United States","620462","620462 --  -- Of cotton","410","Korea, Rep.",2014,2014,"CMT","AHS",2.9,2.9,5.02,0,11.6,4,0,0,539.861,
"HS","H4","840","United States","620520","620520 --  - Of cotton","410","Korea, Rep.",2013,2013,"CMT","AHS",5.9,5.9,5.9,0,11.8,2,0,0,2551.66,
"HS","H4","840","United States","620610","620610 --  - Of silk or silk waste","410","Korea, Rep.",2012,2012,"CMT","AHS",6.9,6.9,0,6.9,6.9,1,0,0,242.468,
"HS","H4","840","United States","620630","620630 --  - Of cotton","410","Korea, Rep.",2014,2014,"CMT","AHS",2.03,2.03,2.88,0,6.1,3,0,0,331.79,
"HS","H4","840","United States","620711","620711 --  -- Of cotton","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,1,0,0,11.562,
"HS","H4","840","United States","620722","620722 --  -- Of man-made fibres","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,1,0,0,0.852,
"HS","H4","840","United States","620811","620811 --  -- Of man-made fibres","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,1,0,0,8.646,
"HS","H4","840","United States","620822","620822 --  -- Of man-made fibres","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,1,0,0,2.324,
"HS","H4","840","United States","620899","620899 --  -- Of other textile materials","410","Korea, Rep.",2012,2012,"CMT","AHS",4.88,4.88,3.03,1.1,8.5,4,0,0,1.225,
"HS","H4","840","United States","620930","620930 --  - Of synthetic fibres","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,3,0,0,17.348,
"HS","H4","840","United States","621030","621030 --  - Other garments, of the type described","410","Korea, Rep.",2012,2012,"CMT","AHS",5.1,5.1,1.59,3.3,7.1,4,0,0,36.116,
"HS","H4","840","United States","621050","621050 --  - Other women's or girls' garments","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,4,0,0,59.477,
"HS","H4","840","United States","621132","621132 --  -- Of cotton","410","Korea, Rep.",2012,2012,"CMT","AHS",8.1,8.1,0,8.1,8.1,1,0,0,40.85,
"HS","H4","840","United States","621139","621139 --  -- Of other textile materials","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,3,0,0,27.662,
"HS","H4","840","United States","621149","621149 --  -- Of other textile materials","410","Korea, Rep.",2013,2013,"CMT","AHS",1.43,1.43,2.03,0,4.3,3,0,0,156.92,
